# file...... substation_load.csv
# date...... Thu May 11 18:42:24 2017
# user...... vagrant
# host...... (null)
# target.... meter 134
# trigger... (none)
# interval.. 60
# limit..... 0
# timestamp,measured_real_power,measured_reactive_power
2009-06-03 10:08:00 EDT,+51633.2334443,+6265.49370951
2009-06-03 10:09:00 EDT,+51617.8763387,+6268.28690099
2009-06-03 10:10:00 EDT,+51666.2094662,+6291.57779455
2009-06-03 10:11:00 EDT,+51720.6390525,+6366.02020568
2009-06-03 10:12:00 EDT,+51770.7493592,+6433.19756966
2009-06-03 10:13:00 EDT,+51816.537887,+6493.1005786
2009-06-03 10:14:00 EDT,+51887.9770427,+6549.88993433
2009-06-03 10:15:00 EDT,+51954.0445356,+6599.10350648
2009-06-03 10:16:00 EDT,+51978.9729971,+6626.76310832
2009-06-03 10:17:00 EDT,+52001.0567908,+6651.71503942
2009-06-03 10:18:00 EDT,+52025.2389689,+6675.24739995
2009-06-03 10:19:00 EDT,+52049.0487448,+6696.71823712
2009-06-03 10:20:00 EDT,+52072.4847671,+6716.12639452
2009-06-03 10:21:00 EDT,+52097.7810159,+6744.76219984
2009-06-03 10:22:00 EDT,+52155.839579,+6769.17682843
2009-06-03 10:23:00 EDT,+52178.1569053,+6782.39886157
2009-06-03 10:24:00 EDT,+52198.9851875,+6787.91281069
2009-06-03 10:25:00 EDT,+52218.3244236,+6785.71866681
2009-06-03 10:26:00 EDT,+52239.5386249,+6741.35474029
2009-06-03 10:27:00 EDT,+52257.5821619,+6706.51319028
2009-06-03 10:28:00 EDT,+52272.4540288,+6681.19513879
2009-06-03 10:29:00 EDT,+52284.1546668,+6665.40026488
2009-06-03 10:30:00 EDT,+52292.6836199,+6659.1293229
2009-06-03 10:31:00 EDT,+52282.4419415,+6685.32782932
2009-06-03 10:32:00 EDT,+52276.8279636,+6709.57507615
2009-06-03 10:33:00 EDT,+52275.8420224,+6731.87352299
2009-06-03 10:34:00 EDT,+52279.4845661,+6752.22237842
2009-06-03 10:35:00 EDT,+52287.7546931,+6770.62169948
2009-06-03 10:36:00 EDT,+52313.1724346,+6782.23644381
2009-06-03 10:37:00 EDT,+52344.7159731,+6795.25328714
2009-06-03 10:38:00 EDT,+52366.8708869,+6807.80554013
2009-06-03 10:39:00 EDT,+52387.3947342,+6820.82546021
2009-06-03 10:40:00 EDT,+52406.2870637,+6834.31382755
2009-06-03 10:41:00 EDT,+52453.5638564,+6854.99193229
2009-06-03 10:42:00 EDT,+52470.7943936,+6871.20578516
2009-06-03 10:43:00 EDT,+52503.9569558,+6888.7027393
2009-06-03 10:44:00 EDT,+52514.7219349,+6902.27251803
2009-06-03 10:45:00 EDT,+52522.2536853,+6914.52028746
2009-06-03 10:46:00 EDT,+52601.5723316,+6930.22104524
2009-06-03 10:47:00 EDT,+52597.5234825,+6936.16416196
2009-06-03 10:48:00 EDT,+52646.6928564,+6951.07650833
2009-06-03 10:49:00 EDT,+52673.1041988,+6964.32657357
2009-06-03 10:50:00 EDT,+52754.7854878,+6990.31692497
2009-06-03 10:51:00 EDT,+52791.7787685,+7018.98497826
2009-06-03 10:52:00 EDT,+52821.8699349,+7043.60017585
2009-06-03 10:53:00 EDT,+52907.0679614,+7075.71069636
2009-06-03 10:54:00 EDT,+52908.5197785,+7092.70190883
2009-06-03 10:55:00 EDT,+52936.7674531,+7110.65897413
2009-06-03 10:56:00 EDT,+52904.8655987,+7112.96407935
2009-06-03 10:57:00 EDT,+52905.7548852,+7119.99329144
2009-06-03 10:58:00 EDT,+52884.0123024,+7125.06471195
2009-06-03 10:59:00 EDT,+52867.3497391,+7131.52217545
