# file...... substation_load.csv
# date...... Thu May 11 18:42:24 2017
# user...... vagrant
# host...... (null)
# target.... meter 134
# trigger... (none)
# interval.. 60
# limit..... 0
# timestamp,measured_real_power,measured_reactive_power
2009-06-03 09:00:00 EDT,+49609.3613795,+5016.44417259
2009-06-03 09:01:00 EDT,+49641.8202704,+5038.3998245
2009-06-03 09:02:00 EDT,+49714.8208089,+5066.60073171
2009-06-03 09:03:00 EDT,+49747.0652578,+5090.1218885
2009-06-03 09:04:00 EDT,+49779.2020716,+5114.42282636
2009-06-03 09:05:00 EDT,+49811.2317018,+5139.50376714
2009-06-03 09:06:00 EDT,+49916.5201878,+5179.87608239
2009-06-03 09:07:00 EDT,+49949.5771898,+5209.32153147
2009-06-03 09:08:00 EDT,+49981.2848794,+5236.74197618
2009-06-03 09:09:00 EDT,+50011.6437052,+5262.13863326
2009-06-03 09:10:00 EDT,+50122.8942746,+5297.06435278
2009-06-03 09:11:00 EDT,+50147.2382706,+5310.01274024
2009-06-03 09:12:00 EDT,+50171.8909189,+5325.13499403
2009-06-03 09:13:00 EDT,+50196.8537549,+5342.43400424
2009-06-03 09:14:00 EDT,+50276.0466451,+5370.1944289
2009-06-03 09:15:00 EDT,+50332.0385422,+5395.2895009
2009-06-03 09:16:00 EDT,+50359.4486983,+5431.79818398
2009-06-03 09:17:00 EDT,+50386.7657781,+5464.68148377
2009-06-03 09:18:00 EDT,+50413.2750972,+5492.85784712
2009-06-03 09:19:00 EDT,+50439.3328064,+5516.86747936
2009-06-03 09:20:00 EDT,+50464.9402516,+5536.7105267
2009-06-03 09:21:00 EDT,+50499.3293603,+5534.64520859
2009-06-03 09:22:00 EDT,+50562.1299535,+5541.54968826
2009-06-03 09:23:00 EDT,+50586.3853803,+5548.89371046
2009-06-03 09:24:00 EDT,+50605.573563,+5560.94174769
2009-06-03 09:25:00 EDT,+50619.6945005,+5577.69429477
2009-06-03 09:26:00 EDT,+50604.571216,+5607.91148852
2009-06-03 09:27:00 EDT,+50596.4687469,+5638.44963319
2009-06-03 09:28:00 EDT,+50595.3876106,+5669.31286848
2009-06-03 09:29:00 EDT,+50601.3282548,+5700.50090215
2009-06-03 09:30:00 EDT,+50614.290678,+5732.01422722
2009-06-03 09:31:00 EDT,+50660.0186116,+5769.4891012
2009-06-03 09:32:00 EDT,+50699.8966178,+5804.47346459
2009-06-03 09:33:00 EDT,+50733.9238053,+5836.96299525
2009-06-03 09:34:00 EDT,+50762.1006208,+5866.9583972
2009-06-03 09:35:00 EDT,+50784.426614,+5894.45795237
2009-06-03 09:36:00 EDT,+50783.9031157,+5920.00674334
2009-06-03 09:37:00 EDT,+50784.1784703,+5942.30610639
2009-06-03 09:38:00 EDT,+50788.9517578,+5962.32048758
2009-06-03 09:39:00 EDT,+50796.3739762,+5979.56875463
2009-06-03 09:40:00 EDT,+50806.445124,+5994.05140414
2009-06-03 09:41:00 EDT,+50866.4867247,+6010.6191462
2009-06-03 09:42:00 EDT,+50893.1108364,+6020.68464947
2009-06-03 09:43:00 EDT,+50931.9698625,+6029.26815407
2009-06-03 09:44:00 EDT,+50941.3814665,+6031.57709768
2009-06-03 09:45:00 EDT,+50942.1872618,+6030.00771144
2009-06-03 09:46:00 EDT,+50955.4982977,+6004.29354933
2009-06-03 09:47:00 EDT,+50915.6749127,+5980.35312048
2009-06-03 09:48:00 EDT,+50923.6020229,+5970.62956529
2009-06-03 09:49:00 EDT,+50965.8438295,+5974.40092964
2009-06-03 09:50:00 EDT,+51041.7473772,+5991.83872821
2009-06-03 09:51:00 EDT,+51116.9215991,+6048.77578809
2009-06-03 09:52:00 EDT,+51184.919583,+6098.22084343
2009-06-03 09:53:00 EDT,+51293.4210057,+6144.80152204
2009-06-03 09:54:00 EDT,+51334.6262369,+6177.45704748
2009-06-03 09:55:00 EDT,+51392.450735,+6204.29191623
2009-06-03 09:56:00 EDT,+51387.9734476,+6196.63074677
2009-06-03 09:57:00 EDT,+51416.0251729,+6196.56134694
2009-06-03 09:58:00 EDT,+51425.8920149,+6197.97110239
2009-06-03 09:59:00 EDT,+51442.9321116,+6203.91987381
2009-06-03 10:00:00 EDT,+51482.3443184,+6215.41493674
2009-06-03 10:01:00 EDT,+51558.6242931,+6253.74468372
2009-06-03 10:02:00 EDT,+51639.4301089,+6286.95810306
2009-06-03 10:03:00 EDT,+51685.1621059,+6311.06283349
2009-06-03 10:04:00 EDT,+51715.6189616,+6328.05081251
2009-06-03 10:05:00 EDT,+51730.8011213,+6337.92173446
2009-06-03 10:06:00 EDT,+51709.8065464,+6302.73738066
2009-06-03 10:07:00 EDT,+51663.8766945,+6276.97711539
