# file...... actual_cooling_setpoint.csv
# date...... Thu May 11 18:42:22 2017
# user...... vagrant
# host...... (null)
# group..... class=house
# property.. cooling_setpoint
# limit..... 0
# interval.. 60
# timestamp,F1_house_B0,F1_house_C1,F1_house_C2,F1_house_B3,F1_house_B4,F1_house_A5,F1_house_B6,F1_house_B7,F1_house_A8,F1_house_A9,F1_house_C10,F1_house_A11,F1_house_A12,F1_house_A13,F1_house_C14,F1_house_A15,F1_house_A16,F1_house_C17,F1_house_C18,F1_house_B19,F1_house_B20,F1_house_C21,F1_house_B22,F1_house_B23,F1_house_B24,F1_house_A25,F1_house_A26,F1_house_C27,F1_house_A28,F1_house_C29
2009-06-03 09:00:00 EDT,+79.402,+80.004,+83.71,+77.176,+75.41,+80.222,+76.04,+78.998,+83.141,+78.667,+74.006,+80.652,+79.272,+80.307,+79.226,+77.805,+78.328,+76.364,+80.182,+83.396,+74.476,+77.64,+85.273,+78.59,+81.248,+85.23,+82.566,+77.968,+77.894,+81.904
2009-06-03 09:01:00 EDT,+79.402,+80.004,+83.71,+77.176,+75.41,+80.222,+76.04,+78.998,+83.141,+78.667,+74.006,+80.652,+79.272,+80.307,+79.226,+77.805,+78.328,+76.364,+80.182,+83.396,+74.476,+77.64,+85.273,+78.59,+81.248,+85.23,+82.566,+77.968,+77.894,+81.904
2009-06-03 09:02:00 EDT,+79.402,+80.004,+83.71,+77.176,+75.41,+80.222,+76.04,+78.998,+83.141,+78.667,+74.006,+80.652,+79.272,+80.307,+79.226,+77.805,+78.328,+76.364,+80.182,+83.396,+74.476,+77.64,+85.273,+78.59,+81.248,+85.23,+82.566,+77.968,+77.894,+81.904
2009-06-03 09:03:00 EDT,+79.402,+80.004,+83.71,+77.176,+75.41,+80.222,+76.04,+78.998,+83.141,+78.667,+74.006,+80.652,+79.272,+80.307,+79.226,+77.805,+78.328,+76.364,+80.182,+83.396,+74.476,+77.64,+85.273,+78.59,+81.248,+85.23,+82.566,+77.968,+77.894,+81.904
2009-06-03 09:04:00 EDT,+79.402,+80.004,+83.71,+77.176,+75.41,+80.222,+76.04,+78.998,+83.141,+78.667,+74.006,+80.652,+79.272,+80.307,+79.226,+77.805,+78.328,+76.364,+80.182,+83.396,+74.476,+77.64,+85.273,+78.59,+81.248,+85.23,+82.566,+77.968,+77.894,+81.904
2009-06-03 09:05:00 EDT,+81.1571345486,+81.7591345486,+86.2629229798,+78.2560827991,+77.9629229798,+81.3020827991,+76.5414670139,+78.998,+85.6939229798,+79.1684670139,+77.5162690972,+82.4071345486,+80.3520827991,+81.3870827991,+80.3060827991,+78.8850827991,+79.4080827991,+78.1191345486,+80.6834670139,+84.4760827991,+74.476,+78.7200827991,+87.0281345486,+80.3451345486,+83.0031345486,+87.7829229798,+85.1189229798,+79.7231345486,+78.9740827991,+83.6591345486
2009-06-03 09:06:00 EDT,+81.1571345486,+81.7591345486,+86.2629229798,+78.2560827991,+77.9629229798,+81.3020827991,+76.5414670139,+78.998,+85.6939229798,+79.1684670139,+77.5162690972,+82.4071345486,+80.3520827991,+81.3870827991,+80.3060827991,+78.8850827991,+79.4080827991,+78.1191345486,+80.6834670139,+84.4760827991,+74.476,+78.7200827991,+87.0281345486,+80.3451345486,+83.0031345486,+87.7829229798,+85.1189229798,+79.7231345486,+78.9740827991,+83.6591345486
2009-06-03 09:07:00 EDT,+81.1571345486,+81.7591345486,+86.2629229798,+78.2560827991,+77.9629229798,+81.3020827991,+76.5414670139,+78.998,+85.6939229798,+79.1684670139,+77.5162690972,+82.4071345486,+80.3520827991,+81.3870827991,+80.3060827991,+78.8850827991,+79.4080827991,+78.1191345486,+80.6834670139,+84.4760827991,+74.476,+78.7200827991,+87.0281345486,+80.3451345486,+83.0031345486,+87.7829229798,+85.1189229798,+79.7231345486,+78.9740827991,+83.6591345486
2009-06-03 09:08:00 EDT,+81.1571345486,+81.7591345486,+86.2629229798,+78.2560827991,+77.9629229798,+81.3020827991,+76.5414670139,+78.998,+85.6939229798,+79.1684670139,+77.5162690972,+82.4071345486,+80.3520827991,+81.3870827991,+80.3060827991,+78.8850827991,+79.4080827991,+78.1191345486,+80.6834670139,+84.4760827991,+74.476,+78.7200827991,+87.0281345486,+80.3451345486,+83.0031345486,+87.7829229798,+85.1189229798,+79.7231345486,+78.9740827991,+83.6591345486
2009-06-03 09:09:00 EDT,+81.1571345486,+81.7591345486,+86.2629229798,+78.2560827991,+77.9629229798,+81.3020827991,+76.5414670139,+78.998,+85.6939229798,+79.1684670139,+77.5162690972,+82.4071345486,+80.3520827991,+81.3870827991,+80.3060827991,+78.8850827991,+79.4080827991,+78.1191345486,+80.6834670139,+84.4760827991,+74.476,+78.7200827991,+87.0281345486,+80.3451345486,+83.0031345486,+87.7829229798,+85.1189229798,+79.7231345486,+78.9740827991,+83.6591345486
