# file...... solar_output.csv
# date...... Thu May 11 18:42:22 2017
# user...... vagrant
# host...... (null)
# group..... class=triplex_meter AND groupid=inverter_meter
# property.. measured_real_power
# limit..... 0
# interval.. 60
# timestamp,solar_F1_tpm_rt_B0,solar_F1_tpm_rt_C1,solar_F1_tpm_rt_C2,solar_F1_tpm_rt_B3,solar_F1_tpm_rt_B4,solar_F1_tpm_rt_A5,solar_F1_tpm_rt_B6,solar_F1_tpm_rt_B7,solar_F1_tpm_rt_A8,solar_F1_tpm_rt_A9,solar_F1_tpm_rt_C10,solar_F1_tpm_rt_A11,solar_F1_tpm_rt_A12,solar_F1_tpm_rt_A13,solar_F1_tpm_rt_C14,solar_F1_tpm_rt_A15,solar_F1_tpm_rt_A16,solar_F1_tpm_rt_C17,solar_F1_tpm_rt_C18,solar_F1_tpm_rt_B19,solar_F1_tpm_rt_B20,solar_F1_tpm_rt_C21,solar_F1_tpm_rt_B22,solar_F1_tpm_rt_B23,solar_F1_tpm_rt_B24,solar_F1_tpm_rt_A25,solar_F1_tpm_rt_A26,solar_F1_tpm_rt_C27,solar_F1_tpm_rt_A28,solar_F1_tpm_rt_C29
2009-06-03 09:00:00 EDT,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2009-06-03 09:01:00 EDT,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2009-06-03 09:02:00 EDT,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2009-06-03 09:03:00 EDT,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2009-06-03 09:04:00 EDT,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2009-06-03 09:05:00 EDT,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2009-06-03 09:06:00 EDT,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2009-06-03 09:07:00 EDT,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2009-06-03 09:08:00 EDT,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2009-06-03 09:09:00 EDT,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2009-06-03 09:10:00 EDT,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2009-06-03 09:11:00 EDT,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2009-06-03 09:12:00 EDT,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2009-06-03 09:13:00 EDT,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
