# file...... net_meter_output.csv
# date...... Thu May 11 18:42:22 2017
# user...... vagrant
# host...... (null)
# group..... class=triplex_meter AND groupid=F1_flatrate_meter
# property.. measured_real_power
# limit..... 0
# interval.. 60
# timestamp,F1_tpm_flatrate_B0,F1_tpm_flatrate_C1,F1_tpm_flatrate_C2,F1_tpm_flatrate_B3,F1_tpm_flatrate_B4,F1_tpm_flatrate_A5,F1_tpm_flatrate_B6,F1_tpm_flatrate_B7,F1_tpm_flatrate_A8,F1_tpm_flatrate_A9,F1_tpm_flatrate_C10,F1_tpm_flatrate_A11,F1_tpm_flatrate_A12,F1_tpm_flatrate_A13,F1_tpm_flatrate_C14,F1_tpm_flatrate_A15,F1_tpm_flatrate_A16,F1_tpm_flatrate_C17,F1_tpm_flatrate_C18,F1_tpm_flatrate_B19,F1_tpm_flatrate_B20,F1_tpm_flatrate_C21,F1_tpm_flatrate_B22,F1_tpm_flatrate_B23,F1_tpm_flatrate_B24,F1_tpm_flatrate_A25,F1_tpm_flatrate_A26,F1_tpm_flatrate_C27,F1_tpm_flatrate_A28,F1_tpm_flatrate_C29
2009-06-03 09:10:00 EDT,+1100.51683456,+1188.691883,+895.826495406,+1565.94404495,+1081.36250873,+1465.10216727,+1307.14353584,+1198.41658514,+669.133066099,+730.399419953,+1047.22594316,+1062.24013278,+850.669817733,+832.500574785,+793.729471631,+1691.81509572,+1086.1241185,+1928.62538897,+749.524652503,+2002.43766646,+2213.66216307,+2556.72875457,+1429.82426404,+2705.31505647,+637.996941697,+1222.37423891,+720.032052239,+1225.99878615,+811.960654998,+1490.5624999
2009-06-03 09:11:00 EDT,+1100.51658039,+1188.69187118,+895.826442154,+1565.94376167,+1081.36236591,+1465.10207811,+1307.1432452,+1198.41631114,+669.133025412,+730.399388052,+1047.2259452,+1062.23990972,+850.66976952,+832.500512466,+793.729461307,+1691.81500512,+1086.12404409,+1928.62527179,+749.524650294,+2002.43744122,+2213.66163395,+2556.72863754,+1429.82412776,+2705.31474736,+637.996814405,+1222.37415681,+720.031911524,+1225.99878003,+811.960522867,+1490.56247994
2009-06-03 09:12:00 EDT,+1100.5163311,+1188.69182358,+895.826382052,+1565.94348739,+1081.36224053,+1465.10193358,+1307.14296066,+1198.41604253,+669.132962381,+730.399323586,+1047.22590845,+1062.23969526,+850.669688109,+832.500421202,+793.729427194,+1691.81485964,+1086.12393391,+1928.62514134,+749.524622967,+2002.43725168,+2213.66111422,+2556.72848131,+1429.82401249,+2705.3144833,+637.996690457,+1222.37402713,+720.031775125,+1225.99873264,+811.960391797,+1490.56241769
2009-06-03 09:13:00 EDT,+1100.51609765,+1188.69174637,+895.826278422,+1565.9432306,+1081.3621234,+1465.10177505,+1307.14269419,+1198.41579098,+669.132893209,+730.399253002,+1047.22585064,+1062.23945849,+850.66959884,+832.50032099,+793.72937157,+1691.81470005,+1086.12381293,+1928.62491615,+749.52457938,+2002.4370748,+2213.6606275,+2556.72821537,+1429.82390491,+2705.31423679,+637.996574399,+1222.37388483,+720.031624556,+1225.99865669,+811.960247162,+1490.562316
2009-06-03 09:14:00 EDT,+1100.50271577,+1188.69163954,+895.82613134,+1565.92825643,+1081.35414529,+1465.10160276,+1307.12676246,+1198.40128835,+669.132818026,+730.399176457,+1047.22577175,+1062.23919901,+850.669501868,+832.50021194,+793.729294435,+1691.81452671,+1086.12368135,+1928.62459639,+749.524519517,+2002.42611427,+2213.63252588,+2556.7278399,+1483.74429905,+2705.29791975,+637.989415851,+1222.37373011,+720.03145958,+1225.99855216,+811.960088809,+1490.56217487
2009-06-03 09:15:00 EDT,+1100.50251467,+1188.6878357,+895.821021354,+1565.92803501,+1081.35404451,+1465.10141599,+1307.12653285,+1198.40107165,+669.132736467,+730.399093505,+1047.22368845,+1062.23891803,+850.669396754,+832.500093749,+793.726210716,+1691.81433856,+1086.12353865,+1928.61369955,+749.522912039,+2002.4259622,+2213.63210662,+2556.71640307,+1483.74419851,+2705.29770764,+637.989315798,+1222.37356247,+720.031280922,+1225.9946923,+811.959917218,+1520.96737724
2009-06-03 09:16:00 EDT,+1100.50238799,+1188.6874883,+895.820571466,+1565.92790049,+1081.35400205,+1465.10112225,+1307.12638889,+1198.4009353,+669.132609295,+730.398958285,+1047.22342356,+1062.23853068,+850.669230215,+832.499911474,+793.72596123,+1691.81404324,+1086.12331811,+1928.61272257,+749.522713964,+2002.42591131,+2213.63184141,+2556.71523991,+1483.74416148,+2705.2976299,+637.989254008,+1222.37330004,+720.031033948,+1225.99434815,+811.959678208,+1520.96690616
2009-06-03 09:17:00 EDT,+1100.50226188,+1188.68683059,+895.819533529,+1565.92775994,+1081.35393029,+1465.10089107,+1307.12624472,+1198.40079936,+669.132507593,+730.39885925,+1047.58399402,+1062.23813996,+850.669101037,+832.499762329,+793.725518193,+1691.81381034,+1086.12313857,+1928.61043789,+749.52230117,+2002.42579762,+2213.63157891,+2556.7124716,+1483.74408805,+2705.29747426,+637.989190869,+1222.37309141,+720.030786064,+1225.99373732,+811.959441726,+1520.96601304
2009-06-03 09:18:00 EDT,+1100.50211564,+1188.68660972,+895.819188116,+1565.92759688,+1081.35384771,+1465.10067794,+1307.1260775,+1198.40064171,+669.132413753,+730.398767961,+1047.58384372,+1062.2377804,+850.668981948,+832.499624874,+793.725356654,+1691.81359529,+1086.12297297,+1928.60968544,+749.522182258,+2002.42566712,+2213.63127451,+2556.7116107,+1483.74400343,+2705.2972953,+637.989117619,+1222.37289921,+720.030557926,+1225.99352722,+811.959223931,+1520.96570447
2009-06-03 09:19:00 EDT,+1100.50194857,+1188.68644617,+895.818928323,+1565.92741094,+1081.35375441,+1465.10048399,+1307.12588651,+1198.40046162,+669.132328339,+730.39868511,+1047.58373374,+1062.23745018,+850.668873629,+832.499499584,+793.725236887,+1691.81339972,+1086.12282212,+1928.60911933,+749.522094744,+2002.4255203,+2213.63092666,+2556.7109652,+1483.74390821,+2705.29709374,+637.989034028,+1222.37272417,+720.030348442,+1225.99337228,+811.959024099,+1520.96547539
2009-06-03 09:20:00 EDT,+1100.50176089,+1188.68634031,+895.818753348,+1565.92720224,+1081.35365036,+1465.10030882,+1307.125672,+1198.40025932,+669.13225116,+730.398610463,+1047.58366458,+1062.2371499,+850.66877585,+832.499386296,+793.725159031,+1691.81322308,+1086.12268573,+1928.60873783,+749.522038907,+2002.42535696,+2213.63053587,+2556.71053347,+1483.74380217,+2705.29686929,+637.988940169,+1222.37256604,+720.03015798,+1225.99327299,+811.958842475,+1520.96532606
2009-06-03 09:21:00 EDT,+1100.50145319,+1188.6866295,+895.819064349,+1565.9268537,+1081.35345189,+1465.10010701,+1307.12531944,+1198.39992744,+669.132162917,+730.398521453,+1047.58390333,+1062.23683878,+850.668662429,+832.499258086,+793.725363651,+1691.81301984,+1086.12253105,+1928.60941063,+749.522211381,+2002.42502961,+2213.62989661,+2556.71137218,+1483.74359364,+2705.29642728,+637.988784713,+1222.37238469,+720.029960252,+1225.99356885,+811.958652872,+1520.96570853
2009-06-03 09:22:00 EDT,+1100.5011501,+1188.68679394,+895.819341171,+1565.92652167,+1081.35330576,+1465.09434947,+1307.12497368,+1198.39960091,+669.129515382,+730.396240737,+1047.58400926,+1062.22797298,+850.665509592,+832.495399627,+793.725484828,+1725.27387544,+1086.11783871,+1928.61001436,+749.522297511,+2002.42481265,+2213.6292644,+2556.71205306,+1483.74344962,+2705.29612299,+637.98863437,+1222.36726596,+720.024350456,+1225.99372234,+811.953250966,+1520.96594124
2009-06-03 09:23:00 EDT,+1100.50088757,+1188.68685377,+895.819464155,+1565.92623443,+1081.35318079,+1465.09423838,+1307.12467422,+1198.39931808,+669.129465934,+730.396195624,+1047.58404115,+1062.22775674,+850.66544815,+832.495326068,+793.725529991,+1725.27375736,+1086.11775039,+1928.61028327,+749.522326188,+2002.42462816,+2213.62871669,+2556.71234622,+1483.74332688,+2705.2958637,+637.988504233,+1222.36716507,+720.024213582,+1225.9937749,+811.953121218,+1520.9660293
2009-06-03 09:24:00 EDT,+1100.5006656,+1188.68680898,+895.819433305,+1565.92599198,+1081.35307698,+1465.09416208,+1307.12442108,+1198.39907895,+669.129431733,+730.396165703,+1047.58399902,+1062.22759592,+850.665406222,+832.495274732,+793.725499139,+1725.27367584,+1086.11768887,+1928.61021738,+749.522297411,+2002.42447613,+2213.62825349,+2556.71225166,+1483.7432254,+2705.29564938,+637.988394301,+1222.36709548,+720.024111907,+1225.99372653,+811.953025163,+1520.96597271
2009-06-03 09:25:00 EDT,+1100.50048417,+1188.68665958,+895.819248617,+1565.92579433,+1081.35299434,+1465.09412054,+1307.12421426,+1198.39888352,+669.129412768,+730.39615096,+1047.58388284,+1062.22749051,+850.665383795,+832.495245603,+793.725392268,+1725.27363085,+1086.11765413,+1928.60981666,+749.522211173,+2002.42435659,+2213.62787481,+2556.71176937,+1483.7431452,+2705.29548006,+637.988304579,+1222.36705718,+720.024045426,+1225.99357722,+811.952962794,+1520.96577145
2009-06-03 09:26:00 EDT,+1100.50049591,+1188.68609454,+895.818540271,+1565.9258212,+1081.3530613,+1465.094355,+1307.12422951,+1198.39889663,+669.129511507,+730.396271212,+1047.58344641,+1062.22765702,+850.665519874,+832.495381632,+793.724987613,+1725.27387011,+1086.11782012,+1928.60827936,+749.521886215,+2002.42449597,+2213.62789613,+2556.70992522,+1483.74322702,+2705.29565464,+637.988313853,+1222.36726328,+720.024153635,+1225.99301401,+811.953073068,+1520.96500883
2009-06-03 09:27:00 EDT,+1100.50050949,+1188.68559306,+895.817787788,+1565.92583259,+1081.35305256,+1465.09442709,+1307.12424453,+1198.39891114,+669.129544198,+730.396297804,+1047.58309602,+1062.22782838,+850.665559059,+832.495431423,+793.724622502,+1725.2739478,+1086.11787961,+1928.6066411,+749.521612601,+2002.42447303,+2213.62792524,+2556.70803594,+1483.74321448,+2705.29562769,+637.98831973,+1222.36732949,+720.024261801,+1225.99253242,+811.953174779,+1520.96431311
2009-06-03 09:28:00 EDT,+1100.50046975,+1188.68513658,+895.817101467,+1565.92578509,+1081.353016,+1465.09444911,+1307.12419867,+1198.39886819,+669.129554944,+730.396302533,+1047.58277747,+1062.22791996,+850.665570157,+832.49544923,+793.724290081,+1725.27397287,+1086.11790054,+1928.60514683,+749.521363694,+2002.42440741,+2213.62784323,+2556.7063134,+1483.74317396,+2705.29554159,+637.98829904,+1222.36735063,+720.024319298,+1225.99209423,+811.953227991,+1520.96367961
2009-06-03 09:29:00 EDT,+1100.50037669,+1188.68472509,+895.816481314,+1565.92567869,+1081.35295162,+1465.09442104,+1307.12409191,+1198.39876779,+669.129543742,+730.396285397,+1047.58249076,+1062.22793176,+850.665553167,+832.495435051,+793.723990357,+1725.27394533,+1086.11788291,+1928.60379658,+749.5211395,+2002.4242991,+2213.62765012,+2556.70475763,+1483.74310549,+2705.29539635,+637.988251782,+1222.3673267,+720.02432612,+1225.99169946,+811.953232696,+1520.96310833
2009-06-03 09:30:00 EDT,+1100.5002303,+1188.68435859,+895.815927319,+1565.92551339,+1081.35285941,+1465.0943429,+1307.12392426,+1198.39860992,+669.129510596,+730.396246397,+1047.58223588,+1062.22786378,+850.665508092,+832.495388888,+793.723723322,+1725.27386517,+1086.11782671,+1928.60259031,+749.520940015,+2002.42414809,+2213.62734589,+2556.70336859,+1483.74300905,+2705.29519195,+637.988177955,+1222.36725772,+720.024282273,+1225.99134809,+811.953188902,+1520.96259925
2009-06-03 09:31:00 EDT,+1100.49982939,+1188.68414102,+895.815563073,+1565.92505224,+1081.35257005,+1465.09400168,+1307.12346398,+1198.39817728,+669.129365022,+730.396079732,+1047.58209513,+1062.22752481,+850.665312181,+832.495184509,+793.723563093,+1725.27351366,+1086.11757834,+1928.60179598,+749.520825817,+2002.42365582,+2213.62651457,+2556.70247185,+1483.74269908,+2705.29453432,+637.987973678,+1222.36695549,+720.024064557,+1225.99114472,+811.952973886,+1520.96229166
2009-06-03 09:32:00 EDT,+1100.49942622,+1188.68391225,+895.815228338,+1565.92461167,+1081.35238055,+1465.09378449,+1307.12300417,+1198.39774294,+669.129269294,+730.395987331,+1047.58193274,+1062.22715072,+850.665190985,+832.495043927,+793.723396944,+1725.27328449,+1086.11740911,+1928.60106751,+749.520699976,+2002.42337766,+2213.62567332,+2556.7016274,+1483.74251358,+2705.29414254,+637.987773957,+1222.36675938,+720.023827295,+1225.99092376,+811.952747686,+1520.96197558
2009-06-03 09:33:00 EDT,+1100.49909348,+1188.68367848,+895.814886244,+1565.9242489,+1081.35222782,+1465.09359217,+1307.12262482,+1198.39738452,+669.129184462,+730.395905784,+1047.5817668,+1062.22681625,+850.665083732,+832.494919224,+793.723227159,+1725.27308144,+1086.11725903,+1928.60032303,+749.520571386,+2002.42315591,+2213.62497886,+2556.7007644,+1483.74236505,+2705.29382891,+637.987609337,+1222.36658565,+720.023615196,+1225.99069798,+811.952545573,+1520.96165258
2009-06-03 09:34:00 EDT,+1100.49883069,+1188.6834396,+895.814536911,+1565.92396368,+1081.35211193,+1465.09342498,+1307.12232539,+1198.39710148,+669.129110665,+730.395835262,+1047.58159721,+1062.22652093,+850.664990593,+832.494810519,+793.723053692,+1725.27290492,+1086.11712828,+1928.5995628,+749.520439969,+2002.4229909,+2213.6244301,+2556.69988312,+1483.74225386,+2705.2935939,+637.987479651,+1222.36643447,+720.023427981,+1225.99046725,+811.952367359,+1520.96132256
2009-06-03 09:35:00 EDT,+1100.49863934,+1188.68319591,+895.814179981,+1565.9237568,+1081.35203262,+1465.09328212,+1307.12210743,+1198.39689541,+669.129047493,+730.395775262,+1047.5814243,+1062.22626617,+850.664911072,+832.494717471,+793.722876679,+1725.27275374,+1086.11701631,+1928.59878602,+749.520305959,+2002.42288161,+2213.62403031,+2556.69898277,+1483.7421788,+2705.29343607,+637.987385392,+1222.36630532,+720.023266489,+1225.99023192,+811.952213604,+1520.96098583
2009-06-03 09:36:00 EDT,+1100.49864009,+1188.68281372,+895.813657194,+1565.92377133,+1081.35209298,+1465.09331715,+1307.12211011,+1198.39689667,+669.129060242,+730.395802162,+1047.58114213,+1062.22618767,+850.66493369,+832.494730944,+793.722600865,+1725.27278595,+1086.11703384,+1928.59764961,+749.520091374,+2002.42301035,+2213.62402879,+2556.69764632,+1483.74225377,+2705.29359616,+637.987389143,+1222.36633367,+720.023218226,+1225.98985741,+811.952171751,+1520.96046333
2009-06-03 09:37:00 EDT,+1100.49868037,+1188.68249854,+895.813174281,+1565.92381546,+1081.35211255,+1465.09364554,+1307.12215606,+1198.39694007,+669.129223512,+728.545601682,+1047.58092493,+1062.22669075,+850.665105703,+832.494969868,+793.722370928,+1725.27315118,+1086.11732777,+1928.59659789,+749.519920608,+2002.42303951,+2213.6241128,+2556.69643866,+1483.74227306,+2705.29363698,+637.987409122,+1222.36662034,+720.02353423,+1225.98955623,+811.952478272,+1520.96002455
2009-06-03 09:38:00 EDT,+1100.4987158,+1188.68224277,+895.812778007,+1565.92385432,+1081.3521297,+1465.09355164,+1307.12219649,+1198.39697824,+669.12918299,+728.545557874,+1047.58074989,+1062.22657395,+850.665052315,+832.49491207,+793.722184085,+1725.27305361,+1086.11725776,+1928.59573471,+749.519782533,+2002.423065,+2213.6241867,+2556.69544947,+1483.74229001,+2705.29367274,+637.987426711,+1222.36653663,+720.023459661,+1225.98931241,+811.952405824,+1520.95966781
2009-06-03 09:39:00 EDT,+1100.4987466,+1188.68204604,+895.812468915,+1565.92388802,+1081.35214438,+1465.09342894,+1307.12223162,+1198.39701142,+669.12912985,+728.545501503,+1047.58061658,+1062.22641105,+850.664982774,+832.494835858,+793.722040183,+1725.27292581,+1086.11716556,+1928.59506129,+749.519676855,+2002.42308669,+2213.62425096,+2556.69467996,+1483.74230444,+2705.29370321,+637.98744198,+1222.36642698,+720.023355806,+1225.98912553,+811.952305363,+1520.95939277
2009-06-03 09:40:00 EDT,+1100.49877271,+1188.68190848,+895.812246827,+1565.92391655,+1081.35215661,+1465.09327736,+1307.12226139,+1198.39703955,+669.12906405,+728.545432518,+1047.58052513,+1062.22620213,+850.664897032,+832.494741198,+793.721939269,+1725.27276766,+1086.11705112,+1928.59457722,+749.519603669,+2002.42310462,+2213.62430544,+2556.69412973,+1483.7423164,+2705.29372847,+637.987454911,+1222.36629134,+720.023222731,+1225.98899573,+811.952176932,+1520.95919953
2009-06-03 09:41:00 EDT,+1100.49873893,+1188.68196203,+895.812268636,+1565.92387487,+1081.35211994,+1465.08944464,+1307.12222223,+1198.397003,+669.127157011,+728.544169083,+1047.58058002,+1062.22100456,+850.662883864,+832.491974661,+793.72197543,+1725.26851304,+1110.92008561,+1928.59462266,+749.519639878,+2002.42303688,+2213.62423602,+2556.69421204,+1483.74227499,+2705.29364042,+637.987437003,+1222.36296756,+720.01995742,+1225.98905579,+811.948980047,+1520.9592649
2009-06-03 09:42:00 EDT,+1100.49871444,+1188.68200339,+895.8123309,+1565.92384981,+1081.35211584,+1465.0891763,+1307.12219454,+1198.39697668,+669.127037551,+728.544060141,+1047.58060886,+1062.22048139,+850.66273547,+832.491796925,+793.722005554,+1725.26822779,+1110.91986,+1928.59475823,+749.519662421,+2002.42303581,+2213.62418455,+2556.69436828,+1483.74227293,+2705.2936363,+637.987425292,+1222.36272383,+720.01962627,+1225.98909548,+811.948666161,+1520.95932231
2009-06-03 09:43:00 EDT,+1100.49871921,+1188.67951269,+916.649477208,+1565.92385705,+1081.352127,+1465.08899275,+1307.12220024,+1198.39698188,+669.126955252,+728.543988222,+1047.57927318,+1062.22009329,+850.662634635,+832.491673347,+793.719975837,+1725.26803165,+1110.91970284,+1928.58765258,+749.518626009,+2002.42305818,+2213.62419403,+2556.68695452,+1483.74228622,+2705.29366463,+637.987428153,+1222.3625564,+720.019380911,+1225.98656278,+811.948434393,+1520.95576107
2009-06-03 09:44:00 EDT,+1100.49875323,+1188.67954544,+916.64952796,+1565.9238966,+1081.35215343,+1465.08889399,+1307.12223935,+1198.3970186,+669.12691011,+728.54395332,+1047.57929593,+1062.21984027,+850.662581354,+832.491603922,+793.719999702,+1725.26792458,+1110.91961411,+1928.58776057,+749.518643823,+2002.42310395,+2213.62426447,+2556.68707883,+1483.74231485,+2705.29372541,+637.987445589,+1222.36246527,+720.019221345,+1225.98659416,+811.948284746,+1520.95580657
2009-06-03 09:45:00 EDT,+1100.49881649,+1188.67957389,+916.64957224,+1565.92396846,+1081.35219512,+1465.08888,+1307.12231186,+1198.39708684,+669.126902122,+728.543955432,+1047.57931562,+1062.21972232,+850.662575623,+832.491588646,+793.72002044,+1725.26790659,+1110.9195938,+1928.58785479,+749.518659272,+2002.42317315,+2213.62439586,+2556.68718719,+1483.74235882,+2705.29381864,+637.987477598,+1222.36245043,+720.019147569,+1225.98662139,+811.948217217,+1520.95584612
2009-06-03 09:46:00 EDT,+1100.49346628,+1188.6761558,+916.644441553,+1565.91790512,+1111.1795202,+1465.08719136,+1307.11564692,+1198.39125169,+669.126013669,+728.543520848,+1047.57696944,+1062.21688308,+850.661724819,+832.490275216,+793.717502128,+1725.26597356,+1110.91783293,+1928.57698786,+749.516835517,+2002.41878976,+2213.61305953,+2578.21705326,+1483.73888433,+2705.28676044,+637.984394107,+1222.36098897,+720.017373736,+1225.98330795,+828.509916439,+1520.9510979
2009-06-03 09:47:00 EDT,+1100.49369968,+1188.67622105,+916.64455752,+1565.91815868,+1111.17962957,+1465.08746251,+1307.11591291,+1198.39150308,+669.126135525,+728.543625872,+1047.57701044,+1062.21747064,+850.661873468,+832.49045872,+793.717550383,+1725.26626382,+1110.91806645,+1928.57723512,+749.516869282,+2002.41893684,+2213.61354688,+2578.21733237,+1483.7389836,+2705.28696992,+637.98450936,+1222.36123664,+720.017745068,+1225.98336834,+828.510275297,+1520.95119078
2009-06-03 09:48:00 EDT,+1100.49387064,+1199.95962137,+916.643227484,+1565.91834309,+1111.17970449,+1465.08447313,+1307.11610755,+1198.39168718,+669.124648129,+728.54264253,+1047.57661565,+1062.21337014,+850.660303679,+832.488299328,+793.716621176,+1725.26294464,+1110.91521443,+1928.57465046,+749.516564848,+2002.41903345,+2213.61390414,+2578.21492192,+1483.73904968,+2705.28710945,+637.984593446,+1244.00931307,+720.015169019,+1225.9822617,+828.507639598,+1520.94966588
2009-06-03 09:49:00 EDT,+1100.49397839,+1199.95273965,+916.633852887,+1565.91845792,+1111.17974505,+1465.08446879,+1307.11623005,+1198.39180315,+669.124649264,+728.542627309,+1047.57288482,+1062.21351812,+850.66029782,+832.488306828,+793.711296456,+1725.26294551,+1110.91522556,+1928.55540227,+749.513671412,+2002.4190801,+2213.61412961,+2578.19420166,+1483.7390832,+2705.28717978,+637.984646106,+1244.00931558,+720.015261168,+1278.41943807,+828.507724966,+1520.94021992
2009-06-03 09:50:00 EDT,+1100.47798616,+1199.95264746,+916.633734667,+1587.58708629,+1111.16943472,+1465.08432653,+1307.09712625,+1198.37446339,+669.124589949,+728.542551857,+1047.57281557,+1062.21344655,+850.660214598,+832.488226244,+793.71123156,+1725.26280145,+1110.91512537,+1928.55515148,+749.513619621,+2002.40590361,+2213.58052662,+2578.19389996,+1483.72955801,+2754.87093423,+637.976041691,+1244.00918986,+720.015213879,+1278.41934149,+828.507673698,+1520.94009746
2009-06-03 09:51:00 EDT,+1100.47695338,+1199.95226846,+916.633258939,+1587.58576059,+1111.16823086,+1465.08332393,+1307.09561263,+1198.37330836,+669.124163417,+728.542057731,+1047.57252763,+1062.21250438,+850.659637767,+832.487629308,+793.710965121,+1725.26177104,+1110.91437803,+1928.55414267,+749.513405378,+2002.40487354,+2213.57826592,+2578.19267992,+1483.72853283,+2754.86874378,+648.44101469,+1244.00828522,+720.014607737,+1278.41894328,+828.507059016,+1520.93959537
