# file...... net_meter_output.csv
# date...... Thu May 11 18:42:22 2017
# user...... vagrant
# host...... (null)
# group..... class=triplex_meter AND groupid=F1_flatrate_meter
# property.. measured_real_power
# limit..... 0
# interval.. 60
# timestamp,F1_tpm_flatrate_B0,F1_tpm_flatrate_C1,F1_tpm_flatrate_C2,F1_tpm_flatrate_B3,F1_tpm_flatrate_B4,F1_tpm_flatrate_A5,F1_tpm_flatrate_B6,F1_tpm_flatrate_B7,F1_tpm_flatrate_A8,F1_tpm_flatrate_A9,F1_tpm_flatrate_C10,F1_tpm_flatrate_A11,F1_tpm_flatrate_A12,F1_tpm_flatrate_A13,F1_tpm_flatrate_C14,F1_tpm_flatrate_A15,F1_tpm_flatrate_A16,F1_tpm_flatrate_C17,F1_tpm_flatrate_C18,F1_tpm_flatrate_B19,F1_tpm_flatrate_B20,F1_tpm_flatrate_C21,F1_tpm_flatrate_B22,F1_tpm_flatrate_B23,F1_tpm_flatrate_B24,F1_tpm_flatrate_A25,F1_tpm_flatrate_A26,F1_tpm_flatrate_C27,F1_tpm_flatrate_A28,F1_tpm_flatrate_C29
2009-06-03 09:00:00 EDT,+1076.01340264,+1188.69336659,+895.828578715,+1565.97113567,+1081.37742377,+1416.2038979,+1266.5228185,+1198.44273155,+669.141191263,+730.40545305,+1047.22701831,+1062.26478587,+828.72394569,+832.512397274,+793.730541168,+1691.83246806,+1086.13861554,+1928.62991878,+749.52547719,+1971.32844552,+2213.71283124,+2556.73402847,+1429.83742216,+2705.34542951,+638.010041358,+1222.38905164,+693.457237328,+1226.00022508,+811.975735743,+1490.5644652
2009-06-03 09:01:00 EDT,+1076.01315859,+1188.69324954,+895.828492395,+1565.97079661,+1081.37709259,+1416.20373686,+1266.52252843,+1198.44245968,+669.141118733,+730.405369566,+1047.22691884,+1062.26463875,+828.723851284,+832.512298335,+793.730463984,+1691.83229606,+1086.13849397,+1928.62973483,+749.525404508,+1971.32783472,+2213.71232639,+2556.73379364,+1429.83704205,+2705.34462482,+638.009897462,+1222.38890494,+693.457144951,+1226.00010639,+811.975637669,+1490.56431883
2009-06-03 09:02:00 EDT,+1076.00460429,+1188.69314593,+895.82834421,+1565.96079162,+1081.3714529,+1416.20359838,+1307.16138966,+1198.43280584,+669.141054434,+730.405303552,+1047.22684393,+1062.26442168,+828.723771784,+832.512205272,+793.730388902,+1691.83214762,+1086.13838162,+1928.62941246,+749.525347105,+1971.32086649,+2213.69359993,+2556.73341819,+1429.83215567,+2705.33328963,+638.004974904,+1222.38877253,+693.457011707,+1226.00000582,+811.975504961,+1490.56418129
2009-06-03 09:03:00 EDT,+1076.00424805,+1188.69303024,+895.828178047,+1565.96039146,+1081.37127084,+1416.20344402,+1307.16097461,+1198.43241407,+669.140982669,+730.405230055,+1047.22676047,+1062.26417888,+828.723683184,+832.512101453,+793.730305025,+1691.83198189,+1086.13825623,+1928.62905096,+749.525283092,+1971.32060004,+2213.69284192,+2556.73299747,+1429.83198823,+2705.33290648,+638.004794074,+1222.38862495,+693.456862668,+1225.99989361,+811.975356464,+1490.56402765
2009-06-03 09:04:00 EDT,+1076.00391808,+1188.69290236,+895.827994062,+1565.96002137,+1081.37110329,+1416.20327439,+1307.16059028,+1198.43205123,+669.14090374,+730.405149442,+1047.22666832,+1062.26390933,+828.723585857,+832.511987129,+793.730212298,+1691.83179976,+1086.13811822,+1928.62865067,+749.525212372,+1971.32035554,+2213.69213976,+2556.7325318,+1429.83183479,+2705.33255463,+638.004626741,+1222.38846257,+693.456697245,+1225.99976963,+811.975191777,+1490.56385777
2009-06-03 09:05:00 EDT,+1076.00361514,+1188.69276231,+895.827792199,+1565.95968174,+1081.37095013,+1416.20308929,+1307.16023745,+1198.43171812,+669.140817542,+730.405061589,+1047.22656752,+1062.26361336,+828.723479675,+832.511862214,+793.730110737,+1691.83160092,+1086.13796743,+1928.62821148,+749.525134974,+1971.32013248,+2213.69149507,+2556.73202109,+1429.83169474,+2705.33223337,+638.00447315,+1222.38828527,+693.45651563,+1225.99963392,+811.975011029,+1490.5636717
2009-06-03 09:06:00 EDT,+1076.00338576,+1188.69254315,+895.827493052,+1565.95942878,+1081.37085176,+1465.10702855,+1307.15997088,+1198.43146603,+669.135417673,+730.401127315,+1047.22640491,+1062.2473408,+850.672408201,+832.504002118,+793.729952617,+1691.82010279,+1086.12832231,+1928.62756123,+749.525011853,+1971.32000112,+2213.69100601,+2556.7312561,+1429.83161068,+2705.33203693,+638.004357903,+1222.37850274,+693.446897623,+1225.99941909,+811.965058054,+1490.56338246
2009-06-03 09:07:00 EDT,+1076.00317229,+1188.69234816,+895.827199372,+1565.95918777,+1081.37073723,+1465.10677981,+1307.15972201,+1198.43123124,+669.135308244,+730.401020342,+1047.2262682,+1062.24692608,+850.672269098,+832.503842017,+793.729810583,+1691.81985184,+1086.12812938,+1928.62692181,+749.524905584,+1971.31982986,+2213.69055207,+2556.73051918,+1429.83150363,+2705.3317929,+638.004249245,+1222.37827854,+693.44664365,+1225.99923197,+811.964806634,+1490.5631219
2009-06-03 09:08:00 EDT,+1076.00295656,+1188.69217311,+895.826935256,+1565.95894445,+1081.37062177,+1465.10654895,+1307.15947056,+1198.43099397,+669.135206685,+730.400921251,+1047.22614564,+1062.24653853,+850.672140048,+832.503693252,+793.729683063,+1691.8196191,+1086.12795021,+1928.62634674,+749.524810246,+1971.31965737,+2213.6900933,+2556.72985673,+1429.83139599,+2705.33154715,+638.00413951,+1222.37807032,+693.446406355,+1225.99906407,+811.964571887,+1490.56288792
2009-06-03 09:09:00 EDT,+1076.00273896,+1188.69201807,+895.826700573,+1565.95869903,+1081.37050532,+1465.10633558,+1307.15921693,+1198.43075465,+669.135112793,+730.400829799,+1047.22603731,+1062.24617885,+850.67202081,+832.50355566,+793.729570083,+1691.81940399,+1086.12778451,+1928.62583573,+749.524725896,+1971.31948341,+2213.68963056,+2556.72926846,+1429.83128742,+2705.3312993,+638.004028827,+1222.37787785,+693.446186142,+1225.99891548,+811.964354083,+1490.5626806
