# BD_rt_1.csv run at 2009-06-03 09:00:00 EDT on 30 triplex meters
meter_name,previous_monthly_bill,previous_monthly_energy
F1_tpm_rt_B0,0.000000,0.000000
F1_tpm_rt_C1,0.000000,0.000000
F1_tpm_rt_C2,0.000000,0.000000
F1_tpm_rt_B3,0.000000,0.000000
F1_tpm_rt_B4,0.000000,0.000000
F1_tpm_rt_A5,0.000000,0.000000
F1_tpm_rt_B6,0.000000,0.000000
F1_tpm_rt_B7,0.000000,0.000000
F1_tpm_rt_A8,0.000000,0.000000
F1_tpm_rt_A9,0.000000,0.000000
F1_tpm_rt_C10,0.000000,0.000000
F1_tpm_rt_A11,0.000000,0.000000
F1_tpm_rt_A12,0.000000,0.000000
F1_tpm_rt_A13,0.000000,0.000000
F1_tpm_rt_C14,0.000000,0.000000
F1_tpm_rt_A15,0.000000,0.000000
F1_tpm_rt_A16,0.000000,0.000000
F1_tpm_rt_C17,0.000000,0.000000
F1_tpm_rt_C18,0.000000,0.000000
F1_tpm_rt_B19,0.000000,0.000000
F1_tpm_rt_B20,0.000000,0.000000
F1_tpm_rt_C21,0.000000,0.000000
F1_tpm_rt_B22,0.000000,0.000000
F1_tpm_rt_B23,0.000000,0.000000
F1_tpm_rt_B24,0.000000,0.000000
F1_tpm_rt_A25,0.000000,0.000000
F1_tpm_rt_A26,0.000000,0.000000
F1_tpm_rt_C27,0.000000,0.000000
F1_tpm_rt_A28,0.000000,0.000000
F1_tpm_rt_C29,0.000000,0.000000
