# BDF_5.csv run at 2009-06-03 09:00:00 EDT on 30 triplex meters
meter_name,previous_monthly_bill,previous_monthly_energy
F1_tpm_flatrate_B0,0.000000,0.000000
F1_tpm_flatrate_C1,0.000000,0.000000
F1_tpm_flatrate_C2,0.000000,0.000000
F1_tpm_flatrate_B3,0.000000,0.000000
F1_tpm_flatrate_B4,0.000000,0.000000
F1_tpm_flatrate_A5,0.000000,0.000000
F1_tpm_flatrate_B6,0.000000,0.000000
F1_tpm_flatrate_B7,0.000000,0.000000
F1_tpm_flatrate_A8,0.000000,0.000000
F1_tpm_flatrate_A9,0.000000,0.000000
F1_tpm_flatrate_C10,0.000000,0.000000
F1_tpm_flatrate_A11,0.000000,0.000000
F1_tpm_flatrate_A12,0.000000,0.000000
F1_tpm_flatrate_A13,0.000000,0.000000
F1_tpm_flatrate_C14,0.000000,0.000000
F1_tpm_flatrate_A15,0.000000,0.000000
F1_tpm_flatrate_A16,0.000000,0.000000
F1_tpm_flatrate_C17,0.000000,0.000000
F1_tpm_flatrate_C18,0.000000,0.000000
F1_tpm_flatrate_B19,0.000000,0.000000
F1_tpm_flatrate_B20,0.000000,0.000000
F1_tpm_flatrate_C21,0.000000,0.000000
F1_tpm_flatrate_B22,0.000000,0.000000
F1_tpm_flatrate_B23,0.000000,0.000000
F1_tpm_flatrate_B24,0.000000,0.000000
F1_tpm_flatrate_A25,0.000000,0.000000
F1_tpm_flatrate_A26,0.000000,0.000000
F1_tpm_flatrate_C27,0.000000,0.000000
F1_tpm_flatrate_A28,0.000000,0.000000
F1_tpm_flatrate_C29,0.000000,0.000000
