# file...... internal_air_temperature.csv
# date...... Thu May 11 18:42:22 2017
# user...... vagrant
# host...... (null)
# group..... class=house
# property.. air_temperature
# limit..... 0
# interval.. 60
# timestamp,F1_house_B0,F1_house_C1,F1_house_C2,F1_house_B3,F1_house_B4,F1_house_A5,F1_house_B6,F1_house_B7,F1_house_A8,F1_house_A9,F1_house_C10,F1_house_A11,F1_house_A12,F1_house_A13,F1_house_C14,F1_house_A15,F1_house_A16,F1_house_C17,F1_house_C18,F1_house_B19,F1_house_B20,F1_house_C21,F1_house_B22,F1_house_B23,F1_house_B24,F1_house_A25,F1_house_A26,F1_house_C27,F1_house_A28,F1_house_C29
2009-06-03 09:00:00 EDT,+68.886,+71.924,+68.511,+69.055,+70.019,+68.735,+70.269,+69.696,+70.582,+68.251,+71.015,+70.59,+70.865,+70.919,+69.709,+69.563,+68.171,+71.855,+70.927,+69.462,+71.091,+71.628,+69.406,+71.681,+70.868,+70.71,+68.211,+68.696,+71.874,+68.611
2009-06-03 09:01:00 EDT,+68.7146880185,+71.8099573991,+68.4118830914,+68.9685105425,+69.897243552,+68.6784313689,+70.1598652884,+69.5975673456,+70.3215276094,+68.0443137452,+70.7540123031,+70.4787227886,+70.7491590474,+70.7920717659,+69.5600208686,+69.4733403332,+68.0898728251,+71.7419254275,+70.6789082723,+69.3680142462,+70.9909968879,+71.5296125734,+69.2586613989,+71.5401970916,+70.7193854981,+70.5520254745,+68.0801998221,+68.6082791279,+71.7136687935,+68.4895055343
2009-06-03 09:02:00 EDT,+68.5838517846,+71.7176375359,+68.336882092,+68.8943465505,+69.7965087871,+68.6337646863,+70.0706012499,+69.5169866153,+70.1152190159,+67.8822980106,+70.5500604847,+70.3911133084,+70.6570185596,+70.6913336449,+69.4384478918,+69.3960292571,+68.0239931867,+71.6453326483,+70.4863659638,+69.2881396906,+70.9053029428,+71.4452266857,+69.1310872266,+71.4189254996,+70.6025591745,+70.4257966241,+67.9737628982,+68.5361149273,+71.5814098893,+68.3907016597
2009-06-03 09:03:00 EDT,+68.4835583434,+71.6427376536,+68.2800161388,+68.8306216846,+69.7129655575,+68.5985730121,+69.9978319838,+69.4508222537,+69.9507126056,+67.7547259014,+70.3898781447,+70.3219477696,+70.5833214056,+70.6110573897,+69.3388019895,+69.3292354769,+67.970403415,+71.5626005438,+70.3361341968,+69.2201337642,+70.8317790436,+71.3727209348,+69.0203877757,+71.3143203099,+70.5101596329,+70.3246315661,+67.8868752461,+68.4765608994,+71.4719441759,+68.3100622098
2009-06-03 09:04:00 EDT,+68.4063133235,+71.5818074841,+68.2367879396,+68.7757384857,+69.6434818348,+68.5709241692,+69.9376068166,+69.3963001987,+69.8184717943,+67.6537132958,+70.2632867412,+70.2671555976,+70.5239773683,+70.5467681971,+69.2567004082,+69.2713994453,+67.9267196904,+71.4915252017,+70.2181313326,+69.1621104615,+70.7686059471,+71.3102955017,+68.9240962708,+71.2239370475,+70.4365313862,+70.2432553316,+67.815674523,+68.4272289707,+71.3809858451,+68.243964594
2009-06-03 09:05:00 EDT,+68.3464622508,+71.5320803471,+68.203815768,+68.7283441348,+69.5854964639,+68.5492798793,+69.8875356838,+69.351180515,+69.7111394049,+67.5731821597,+70.1624768622,+70.2235648462,+70.4758041257,+70.4949704311,+69.1886373524,+69.2211930375,+67.8910207041,+71.4302535078,+70.1246800209,+69.1124836478,+70.714236455,+71.2564234017,+68.8401069681,+71.1456899747,+70.3773295315,+70.17750363,+67.7570619024,+68.3861836592,+71.3050554941,+68.1895094112
2009-06-03 09:06:00 EDT,+68.2997388444,+71.4913377134,+68.1785567435,+68.6872929875,+69.5369151102,+68.5328275634,+69.8456843786,+69.3136545508,+69.6230395927,+67.5084468066,+70.081456788,+70.1887038145,+70.4365235381,+70.452933362,+69.1318085092,+69.17748521,+67.8617579214,+71.3772273087,+70.0499338156,+69.0699193802,+70.6673547324,+71.2098091251,+68.7666223152,+71.0777994446,+70.3292160374,+70.1240889877,+67.7085511402,+68.3518562974,+71.2413283936,+68.1443760759
2009-06-03 09:07:00 EDT,+68.262924208,+71.4578006018,+68.1590987528,+68.6516148467,+69.4960251718,+68.5220025795,+69.8104876056,+69.282261897,+69.5497936001,+67.4558949374,+70.015629406,+70.1606464586,+70.4051498999,+70.4185237912,+69.0839706854,+69.1393127555,+67.8376832551,+71.3311364625,+69.9894405333,+69.0332958093,+70.6268417106,+71.169353548,+68.7021078441,+71.0187469805,+70.2896264128,+70.0804161284,+67.6681474773,+68.3229755131,+71.1875113058,+68.1067072654
2009-06-03 09:08:00 EDT,+68.2335896908,+71.4300424929,+68.1440039862,+68.6204880936,+69.4614262009,+68.5138590687,+69.7806786173,+69.2558233352,+69.4880233239,+67.4127417475,+69.9614676024,+70.1378919313,+70.3788276879,+70.3900752996,+69.04332953,+69.105855397,+67.8177907731,+71.2908793621,+69.939809744,+69.0016694567,+70.5917456629,+71.1341241618,+68.6452536664,+70.9672369484,+70.2565904484,+70.0444362254,+67.6342504811,+68.2985108849,+71.1417424803,+68.0750164365
2009-06-03 09:09:00 EDT,+68.2099028787,+71.4069194972,+68.1321912845,+68.5932169339,+69.4319730078,+68.5078496346,+69.755232271,+69.2333866957,+69.4351226298,+67.3768403635,+69.9162652105,+70.1192707149,+70.3564390999,+70.3662861078,+69.0084497237,+69.0764145789,+67.8012697144,+71.2555297419,+69.89845956,+68.9742468544,+70.561257181,+71.1033298161,+68.5949416035,+70.9221638531,+70.2285944981,+70.0145318435,+67.6055760945,+68.2776272765,+71.1025104657,+68.0481138044
