# log_file.csv
# Thu May 11 18:42:22 2017
# market
# market_id,timestamp,bidder_name,bid_price,bid_quantity,bid_state
1,2009-06-03 09:05:00 EDT,F1_Transformer1,3.780000,-49.792263,on
1,2009-06-03 09:05:00 EDT,market,0.057090,120.000000,on
2,2009-06-03 09:10:00 EDT,F1_Transformer1,3.780000,-50.105551,on
2,2009-06-03 09:10:00 EDT,market,0.057226,120.000000,on
3,2009-06-03 09:15:00 EDT,F1_Transformer1,3.780000,-50.316174,on
3,2009-06-03 09:15:00 EDT,market,0.057498,120.000000,on
4,2009-06-03 09:20:00 EDT,F1_Transformer1,3.780000,-50.449139,on
4,2009-06-03 09:20:00 EDT,market,0.068511,120.000000,on
5,2009-06-03 09:25:00 EDT,F1_Transformer1,3.780000,-50.610194,on
5,2009-06-03 09:25:00 EDT,market,0.068511,120.000000,on
6,2009-06-03 09:30:00 EDT,F1_Transformer1,3.780000,-50.603853,on
6,2009-06-03 09:30:00 EDT,market,0.059809,120.000000,on
7,2009-06-03 09:35:00 EDT,F1_Transformer1,3.780000,-50.770892,on
7,2009-06-03 09:35:00 EDT,market,0.058042,120.000000,on
8,2009-06-03 09:40:00 EDT,F1_Transformer1,3.780000,-50.797970,on
8,2009-06-03 09:40:00 EDT,market,0.058042,120.000000,on
9,2009-06-03 09:45:00 EDT,F1_Transformer1,3.780000,-50.939736,on
9,2009-06-03 09:45:00 EDT,market,0.058042,120.000000,on
10,2009-06-03 09:50:00 EDT,F1_Transformer1,3.780000,-51.034459,on
10,2009-06-03 09:50:00 EDT,market,0.058586,120.000000,on
11,2009-06-03 09:55:00 EDT,F1_Transformer1,3.780000,-51.373567,on
11,2009-06-03 09:55:00 EDT,market,0.057362,120.000000,on
12,2009-06-03 10:00:00 EDT,F1_Transformer1,3.780000,-51.466152,on
12,2009-06-03 10:00:00 EDT,market,0.057362,120.000000,on
13,2009-06-03 10:05:00 EDT,F1_Transformer1,3.780000,-51.721895,on
13,2009-06-03 10:05:00 EDT,market,0.059945,120.000000,on
14,2009-06-03 10:10:00 EDT,F1_Transformer1,3.780000,-51.661116,on
14,2009-06-03 10:10:00 EDT,market,0.056546,120.000000,on
15,2009-06-03 10:15:00 EDT,F1_Transformer1,3.780000,-51.932754,on
15,2009-06-03 10:15:00 EDT,market,0.056546,120.000000,on
16,2009-06-03 10:20:00 EDT,F1_Transformer1,3.780000,-52.057537,on
16,2009-06-03 10:20:00 EDT,market,0.055459,120.000000,on
17,2009-06-03 10:25:00 EDT,F1_Transformer1,3.780000,-52.205542,on
17,2009-06-03 10:25:00 EDT,market,0.055459,120.000000,on
18,2009-06-03 10:30:00 EDT,F1_Transformer1,3.780000,-52.285512,on
18,2009-06-03 10:30:00 EDT,market,0.056682,120.000000,on
19,2009-06-03 10:35:00 EDT,F1_Transformer1,3.780000,-52.279735,on
19,2009-06-03 10:35:00 EDT,market,0.056682,120.000000,on
20,2009-06-03 10:40:00 EDT,F1_Transformer1,3.780000,-52.393723,on
20,2009-06-03 10:40:00 EDT,market,0.057770,120.000000,on
21,2009-06-03 10:45:00 EDT,F1_Transformer1,3.780000,-52.515553,on
21,2009-06-03 10:45:00 EDT,market,0.058722,120.000000,on
22,2009-06-03 10:50:00 EDT,F1_Transformer1,3.780000,-52.750380,on
22,2009-06-03 10:50:00 EDT,market,0.062257,120.000000,on
23,2009-06-03 10:55:00 EDT,F1_Transformer1,3.780000,-52.936269,on
23,2009-06-03 10:55:00 EDT,market,0.064296,120.000000,on
24,2009-06-03 11:00:00 EDT,F1_Transformer1,3.780000,-52.882037,on
24,2009-06-03 11:00:00 EDT,market,0.059130,120.000000,on
