# file...... desired_cooling_setpoint.csv
# date...... Thu May 11 18:42:22 2017
# user...... vagrant
# host...... (null)
# group..... class=controller
# property.. base_setpoint
# limit..... 0
# interval.. 60
# timestamp,F1_C30_0,F1_C30_1,F1_C30_2,F1_C30_3,F1_C30_4,F1_C30_5,F1_C30_6,F1_C30_7,F1_C30_8,F1_C30_9,F1_C30_10,F1_C30_11,F1_C30_12,F1_C30_13,F1_C30_14,F1_C30_15,F1_C30_16,F1_C30_17,F1_C30_18,F1_C30_19,F1_C30_20,F1_C30_21,F1_C30_22,F1_C30_23,F1_C30_24,F1_C30_25,F1_C30_26,F1_C30_27,F1_C30_28,F1_C30_29
2009-06-03 09:00:00 EDT,+78.402,+79.004,+82.71,+76.176,+74.41,+79.222,+75.04,+78.998,+82.141,+77.667,+73.006,+79.652,+78.272,+79.307,+78.226,+76.805,+77.328,+75.364,+79.182,+82.396,+74.476,+76.64,+84.273,+77.59,+80.248,+84.23,+81.566,+76.968,+76.894,+80.904
2009-06-03 09:01:00 EDT,+78.402,+79.004,+82.71,+76.176,+74.41,+79.222,+75.04,+78.998,+82.141,+77.667,+73.006,+79.652,+78.272,+79.307,+78.226,+76.805,+77.328,+75.364,+79.182,+82.396,+74.476,+76.64,+84.273,+77.59,+80.248,+84.23,+81.566,+76.968,+76.894,+80.904
2009-06-03 09:02:00 EDT,+78.402,+79.004,+82.71,+76.176,+74.41,+79.222,+75.04,+78.998,+82.141,+77.667,+73.006,+79.652,+78.272,+79.307,+78.226,+76.805,+77.328,+75.364,+79.182,+82.396,+74.476,+76.64,+84.273,+77.59,+80.248,+84.23,+81.566,+76.968,+76.894,+80.904
2009-06-03 09:03:00 EDT,+78.402,+79.004,+82.71,+76.176,+74.41,+79.222,+75.04,+78.998,+82.141,+77.667,+73.006,+79.652,+78.272,+79.307,+78.226,+76.805,+77.328,+75.364,+79.182,+82.396,+74.476,+76.64,+84.273,+77.59,+80.248,+84.23,+81.566,+76.968,+76.894,+80.904
2009-06-03 09:04:00 EDT,+78.402,+79.004,+82.71,+76.176,+74.41,+79.222,+75.04,+78.998,+82.141,+77.667,+73.006,+79.652,+78.272,+79.307,+78.226,+76.805,+77.328,+75.364,+79.182,+82.396,+74.476,+76.64,+84.273,+77.59,+80.248,+84.23,+81.566,+76.968,+76.894,+80.904
2009-06-03 09:05:00 EDT,+78.402,+79.004,+82.71,+76.176,+74.41,+79.222,+75.04,+78.998,+82.141,+77.667,+73.006,+79.652,+78.272,+79.307,+78.226,+76.805,+77.328,+75.364,+79.182,+82.396,+74.476,+76.64,+84.273,+77.59,+80.248,+84.23,+81.566,+76.968,+76.894,+80.904
2009-06-03 09:06:00 EDT,+78.402,+79.004,+82.71,+76.176,+74.41,+79.222,+75.04,+78.998,+82.141,+77.667,+73.006,+79.652,+78.272,+79.307,+78.226,+76.805,+77.328,+75.364,+79.182,+82.396,+74.476,+76.64,+84.273,+77.59,+80.248,+84.23,+81.566,+76.968,+76.894,+80.904
2009-06-03 09:07:00 EDT,+78.402,+79.004,+82.71,+76.176,+74.41,+79.222,+75.04,+78.998,+82.141,+77.667,+73.006,+79.652,+78.272,+79.307,+78.226,+76.805,+77.328,+75.364,+79.182,+82.396,+74.476,+76.64,+84.273,+77.59,+80.248,+84.23,+81.566,+76.968,+76.894,+80.904
2009-06-03 09:08:00 EDT,+78.402,+79.004,+82.71,+76.176,+74.41,+79.222,+75.04,+78.998,+82.141,+77.667,+73.006,+79.652,+78.272,+79.307,+78.226,+76.805,+77.328,+75.364,+79.182,+82.396,+74.476,+76.64,+84.273,+77.59,+80.248,+84.23,+81.566,+76.968,+76.894,+80.904
2009-06-03 09:09:00 EDT,+78.402,+79.004,+82.71,+76.176,+74.41,+79.222,+75.04,+78.998,+82.141,+77.667,+73.006,+79.652,+78.272,+79.307,+78.226,+76.805,+77.328,+75.364,+79.182,+82.396,+74.476,+76.64,+84.273,+77.59,+80.248,+84.23,+81.566,+76.968,+76.894,+80.904
2009-06-03 09:10:00 EDT,+78.402,+79.004,+82.71,+76.176,+74.41,+79.222,+75.04,+78.998,+82.141,+77.667,+73.006,+79.652,+78.272,+79.307,+78.226,+76.805,+77.328,+75.364,+79.182,+82.396,+74.476,+76.64,+84.273,+77.59,+80.248,+84.23,+81.566,+76.968,+76.894,+80.904
2009-06-03 09:11:00 EDT,+78.402,+79.004,+82.71,+76.176,+74.41,+79.222,+75.04,+78.998,+82.141,+77.667,+73.006,+79.652,+78.272,+79.307,+78.226,+76.805,+77.328,+75.364,+79.182,+82.396,+74.476,+76.64,+84.273,+77.59,+80.248,+84.23,+81.566,+76.968,+76.894,+80.904
2009-06-03 09:12:00 EDT,+78.402,+79.004,+82.71,+76.176,+74.41,+79.222,+75.04,+78.998,+82.141,+77.667,+73.006,+79.652,+78.272,+79.307,+78.226,+76.805,+77.328,+75.364,+79.182,+82.396,+74.476,+76.64,+84.273,+77.59,+80.248,+84.23,+81.566,+76.968,+76.894,+80.904
2009-06-03 09:13:00 EDT,+78.402,+79.004,+82.71,+76.176,+74.41,+79.222,+75.04,+78.998,+82.141,+77.667,+73.006,+79.652,+78.272,+79.307,+78.226,+76.805,+77.328,+75.364,+79.182,+82.396,+74.476,+76.64,+84.273,+77.59,+80.248,+84.23,+81.566,+76.968,+76.894,+80.904
2009-06-03 09:14:00 EDT,+78.402,+79.004,+82.71,+76.176,+74.41,+79.222,+75.04,+78.998,+82.141,+77.667,+73.006,+79.652,+78.272,+79.307,+78.226,+76.805,+77.328,+75.364,+79.182,+82.396,+74.476,+76.64,+84.273,+77.59,+80.248,+84.23,+81.566,+76.968,+76.894,+80.904
2009-06-03 09:15:00 EDT,+78.402,+79.004,+82.71,+76.176,+74.41,+79.222,+78.94,+78.998,+82.141,+77.667,+76.818,+79.652,+78.272,+79.307,+78.226,+76.805,+81.484,+79.272,+79.182,+82.396,+74.476,+76.64,+84.273,+77.59,+80.248,+84.23,+81.566,+76.968,+76.894,+80.904
2009-06-03 09:16:00 EDT,+78.402,+79.004,+82.71,+76.176,+74.41,+79.222,+78.94,+78.998,+82.141,+77.667,+76.818,+79.652,+78.272,+79.307,+78.226,+76.805,+81.484,+79.272,+79.182,+82.396,+74.476,+76.64,+84.273,+77.59,+80.248,+84.23,+81.566,+76.968,+76.894,+80.904
2009-06-03 09:17:00 EDT,+78.402,+79.004,+82.71,+76.176,+74.41,+79.222,+78.94,+78.998,+82.141,+77.667,+76.818,+79.652,+78.272,+79.307,+78.226,+76.805,+81.484,+79.272,+79.182,+82.396,+74.476,+76.64,+84.273,+77.59,+80.248,+84.23,+81.566,+76.968,+76.894,+80.904
2009-06-03 09:18:00 EDT,+78.402,+79.004,+82.71,+76.176,+74.41,+79.222,+78.94,+78.998,+82.141,+77.667,+76.818,+79.652,+78.272,+79.307,+78.226,+76.805,+81.484,+79.272,+79.182,+82.396,+74.476,+76.64,+84.273,+77.59,+80.248,+84.23,+81.566,+76.968,+76.894,+80.904
2009-06-03 09:19:00 EDT,+78.402,+79.004,+82.71,+76.176,+74.41,+79.222,+78.94,+78.998,+82.141,+77.667,+76.818,+79.652,+78.272,+79.307,+78.226,+76.805,+81.484,+79.272,+79.182,+82.396,+74.476,+76.64,+84.273,+77.59,+80.248,+84.23,+81.566,+76.968,+76.894,+80.904
2009-06-03 09:20:00 EDT,+78.402,+79.004,+82.71,+76.176,+74.41,+79.222,+78.94,+78.998,+82.141,+77.667,+76.818,+79.652,+78.272,+79.307,+78.226,+76.805,+81.484,+79.272,+79.182,+82.396,+74.476,+76.64,+84.273,+77.59,+80.248,+84.23,+81.566,+76.968,+76.894,+80.904
2009-06-03 09:21:00 EDT,+78.402,+79.004,+82.71,+76.176,+74.41,+79.222,+78.94,+78.998,+82.141,+77.667,+76.818,+79.652,+78.272,+79.307,+78.226,+76.805,+81.484,+79.272,+79.182,+82.396,+74.476,+76.64,+84.273,+77.59,+80.248,+84.23,+81.566,+76.968,+76.894,+80.904
2009-06-03 09:22:00 EDT,+78.402,+79.004,+82.71,+76.176,+74.41,+79.222,+78.94,+78.998,+82.141,+77.667,+76.818,+79.652,+78.272,+79.307,+78.226,+76.805,+81.484,+79.272,+79.182,+82.396,+74.476,+76.64,+84.273,+77.59,+80.248,+84.23,+81.566,+76.968,+76.894,+80.904
2009-06-03 09:23:00 EDT,+78.402,+79.004,+82.71,+76.176,+74.41,+79.222,+78.94,+78.998,+82.141,+77.667,+76.818,+79.652,+78.272,+79.307,+78.226,+76.805,+81.484,+79.272,+79.182,+82.396,+74.476,+76.64,+84.273,+77.59,+80.248,+84.23,+81.566,+76.968,+76.894,+80.904
2009-06-03 09:24:00 EDT,+78.402,+79.004,+82.71,+76.176,+74.41,+79.222,+78.94,+78.998,+82.141,+77.667,+76.818,+79.652,+78.272,+79.307,+78.226,+76.805,+81.484,+79.272,+79.182,+82.396,+74.476,+76.64,+84.273,+77.59,+80.248,+84.23,+81.566,+76.968,+76.894,+80.904
2009-06-03 09:25:00 EDT,+78.402,+79.004,+82.71,+76.176,+74.41,+79.222,+78.94,+78.998,+82.141,+77.667,+76.818,+79.652,+78.272,+79.307,+78.226,+76.805,+81.484,+79.272,+79.182,+82.396,+74.476,+76.64,+84.273,+77.59,+80.248,+84.23,+81.566,+76.968,+76.894,+80.904
2009-06-03 09:26:00 EDT,+78.402,+79.004,+82.71,+76.176,+74.41,+79.222,+78.94,+78.998,+82.141,+77.667,+76.818,+79.652,+78.272,+79.307,+78.226,+76.805,+81.484,+79.272,+79.182,+82.396,+74.476,+76.64,+84.273,+77.59,+80.248,+84.23,+81.566,+76.968,+76.894,+80.904
2009-06-03 09:27:00 EDT,+78.402,+79.004,+82.71,+76.176,+74.41,+79.222,+78.94,+78.998,+82.141,+77.667,+76.818,+79.652,+78.272,+79.307,+78.226,+76.805,+81.484,+79.272,+79.182,+82.396,+74.476,+76.64,+84.273,+77.59,+80.248,+84.23,+81.566,+76.968,+76.894,+80.904
2009-06-03 09:28:00 EDT,+78.402,+79.004,+82.71,+76.176,+74.41,+79.222,+78.94,+78.998,+82.141,+77.667,+76.818,+79.652,+78.272,+79.307,+78.226,+76.805,+81.484,+79.272,+79.182,+82.396,+74.476,+76.64,+84.273,+77.59,+80.248,+84.23,+81.566,+76.968,+76.894,+80.904
2009-06-03 09:29:00 EDT,+78.402,+79.004,+82.71,+76.176,+74.41,+79.222,+78.94,+78.998,+82.141,+77.667,+76.818,+79.652,+78.272,+79.307,+78.226,+76.805,+81.484,+79.272,+79.182,+82.396,+74.476,+76.64,+84.273,+77.59,+80.248,+84.23,+81.566,+76.968,+76.894,+80.904
2009-06-03 09:30:00 EDT,+78.402,+79.004,+82.71,+76.176,+74.41,+79.222,+78.94,+78.998,+82.141,+77.667,+76.818,+79.652,+78.272,+79.307,+78.226,+76.805,+81.484,+79.272,+79.182,+82.396,+74.476,+76.64,+84.273,+77.59,+80.248,+84.23,+81.566,+76.968,+76.894,+80.904
2009-06-03 09:31:00 EDT,+78.402,+79.004,+82.71,+76.176,+74.41,+79.222,+78.94,+78.998,+82.141,+77.667,+76.818,+79.652,+78.272,+79.307,+78.226,+76.805,+81.484,+79.272,+79.182,+82.396,+74.476,+76.64,+84.273,+77.59,+80.248,+84.23,+81.566,+76.968,+76.894,+80.904
2009-06-03 09:32:00 EDT,+78.402,+79.004,+82.71,+76.176,+74.41,+79.222,+78.94,+78.998,+82.141,+77.667,+76.818,+79.652,+78.272,+79.307,+78.226,+76.805,+81.484,+79.272,+79.182,+82.396,+74.476,+76.64,+84.273,+77.59,+80.248,+84.23,+81.566,+76.968,+76.894,+80.904
2009-06-03 09:33:00 EDT,+78.402,+79.004,+82.71,+76.176,+74.41,+79.222,+78.94,+78.998,+82.141,+77.667,+76.818,+79.652,+78.272,+79.307,+78.226,+76.805,+81.484,+79.272,+79.182,+82.396,+74.476,+76.64,+84.273,+77.59,+80.248,+84.23,+81.566,+76.968,+76.894,+80.904
2009-06-03 09:34:00 EDT,+78.402,+79.004,+82.71,+76.176,+74.41,+79.222,+78.94,+78.998,+82.141,+77.667,+76.818,+79.652,+78.272,+79.307,+78.226,+76.805,+81.484,+79.272,+79.182,+82.396,+74.476,+76.64,+84.273,+77.59,+80.248,+84.23,+81.566,+76.968,+76.894,+80.904
2009-06-03 09:35:00 EDT,+78.402,+79.004,+82.71,+76.176,+74.41,+79.222,+78.94,+78.998,+82.141,+77.667,+76.818,+79.652,+78.272,+79.307,+78.226,+76.805,+81.484,+79.272,+79.182,+82.396,+74.476,+76.64,+84.273,+77.59,+80.248,+84.23,+81.566,+76.968,+76.894,+80.904
2009-06-03 09:36:00 EDT,+78.402,+79.004,+82.71,+76.176,+74.41,+79.222,+78.94,+78.998,+82.141,+77.667,+76.818,+79.652,+78.272,+79.307,+78.226,+76.805,+81.484,+79.272,+79.182,+82.396,+74.476,+76.64,+84.273,+77.59,+80.248,+84.23,+81.566,+76.968,+76.894,+80.904
2009-06-03 09:37:00 EDT,+78.402,+79.004,+82.71,+76.176,+74.41,+79.222,+78.94,+78.998,+82.141,+77.667,+76.818,+79.652,+78.272,+79.307,+78.226,+76.805,+81.484,+79.272,+79.182,+82.396,+74.476,+76.64,+84.273,+77.59,+80.248,+84.23,+81.566,+76.968,+76.894,+80.904
2009-06-03 09:38:00 EDT,+78.402,+79.004,+82.71,+76.176,+74.41,+79.222,+78.94,+78.998,+82.141,+77.667,+76.818,+79.652,+78.272,+79.307,+78.226,+76.805,+81.484,+79.272,+79.182,+82.396,+74.476,+76.64,+84.273,+77.59,+80.248,+84.23,+81.566,+76.968,+76.894,+80.904
2009-06-03 09:39:00 EDT,+78.402,+79.004,+82.71,+76.176,+74.41,+79.222,+78.94,+78.998,+82.141,+77.667,+76.818,+79.652,+78.272,+79.307,+78.226,+76.805,+81.484,+79.272,+79.182,+82.396,+74.476,+76.64,+84.273,+77.59,+80.248,+84.23,+81.566,+76.968,+76.894,+80.904
2009-06-03 09:40:00 EDT,+78.402,+79.004,+82.71,+76.176,+74.41,+79.222,+78.94,+78.998,+82.141,+77.667,+76.818,+79.652,+78.272,+79.307,+78.226,+76.805,+81.484,+79.272,+79.182,+82.396,+74.476,+76.64,+84.273,+77.59,+80.248,+84.23,+81.566,+76.968,+76.894,+80.904
2009-06-03 09:41:00 EDT,+78.402,+79.004,+82.71,+76.176,+74.41,+79.222,+78.94,+78.998,+82.141,+77.667,+76.818,+79.652,+78.272,+79.307,+78.226,+76.805,+81.484,+79.272,+79.182,+82.396,+74.476,+76.64,+84.273,+77.59,+80.248,+84.23,+81.566,+76.968,+76.894,+80.904
2009-06-03 09:42:00 EDT,+78.402,+79.004,+82.71,+76.176,+74.41,+79.222,+78.94,+78.998,+82.141,+77.667,+76.818,+79.652,+78.272,+79.307,+78.226,+76.805,+81.484,+79.272,+79.182,+82.396,+74.476,+76.64,+84.273,+77.59,+80.248,+84.23,+81.566,+76.968,+76.894,+80.904
2009-06-03 09:43:00 EDT,+78.402,+79.004,+82.71,+76.176,+74.41,+79.222,+78.94,+78.998,+82.141,+77.667,+76.818,+79.652,+78.272,+79.307,+78.226,+76.805,+81.484,+79.272,+79.182,+82.396,+74.476,+76.64,+84.273,+77.59,+80.248,+84.23,+81.566,+76.968,+76.894,+80.904
2009-06-03 09:44:00 EDT,+78.402,+79.004,+82.71,+76.176,+74.41,+79.222,+78.94,+78.998,+82.141,+77.667,+76.818,+79.652,+78.272,+79.307,+78.226,+76.805,+81.484,+79.272,+79.182,+82.396,+74.476,+76.64,+84.273,+77.59,+80.248,+84.23,+81.566,+76.968,+76.894,+80.904
2009-06-03 09:45:00 EDT,+78.402,+79.004,+82.71,+76.176,+74.41,+79.222,+78.94,+78.998,+82.141,+77.667,+76.818,+79.652,+78.272,+79.307,+78.226,+76.805,+81.484,+79.272,+79.182,+82.396,+74.476,+76.64,+84.273,+77.59,+80.248,+84.23,+81.566,+76.968,+76.894,+80.904
2009-06-03 09:46:00 EDT,+78.402,+79.004,+82.71,+76.176,+74.41,+79.222,+78.94,+78.998,+82.141,+77.667,+76.818,+79.652,+78.272,+79.307,+78.226,+76.805,+81.484,+79.272,+79.182,+82.396,+74.476,+76.64,+84.273,+77.59,+80.248,+84.23,+81.566,+76.968,+76.894,+80.904
2009-06-03 09:47:00 EDT,+78.402,+79.004,+82.71,+76.176,+74.41,+79.222,+78.94,+78.998,+82.141,+77.667,+76.818,+79.652,+78.272,+79.307,+78.226,+76.805,+81.484,+79.272,+79.182,+82.396,+74.476,+76.64,+84.273,+77.59,+80.248,+84.23,+81.566,+76.968,+76.894,+80.904
2009-06-03 09:48:00 EDT,+78.402,+79.004,+82.71,+76.176,+74.41,+79.222,+78.94,+78.998,+82.141,+77.667,+76.818,+79.652,+78.272,+79.307,+78.226,+76.805,+81.484,+79.272,+79.182,+82.396,+74.476,+76.64,+84.273,+77.59,+80.248,+84.23,+81.566,+76.968,+76.894,+80.904
2009-06-03 09:49:00 EDT,+78.402,+79.004,+82.71,+76.176,+74.41,+79.222,+78.94,+78.998,+82.141,+77.667,+76.818,+79.652,+78.272,+79.307,+78.226,+76.805,+81.484,+79.272,+79.182,+82.396,+74.476,+76.64,+84.273,+77.59,+80.248,+84.23,+81.566,+76.968,+76.894,+80.904
2009-06-03 09:50:00 EDT,+78.402,+79.004,+82.71,+76.176,+74.41,+79.222,+78.94,+78.998,+82.141,+77.667,+76.818,+79.652,+78.272,+79.307,+78.226,+76.805,+81.484,+79.272,+79.182,+82.396,+74.476,+76.64,+84.273,+77.59,+80.248,+84.23,+81.566,+76.968,+76.894,+80.904
2009-06-03 09:51:00 EDT,+78.402,+79.004,+82.71,+76.176,+74.41,+79.222,+78.94,+78.998,+82.141,+77.667,+76.818,+79.652,+78.272,+79.307,+78.226,+76.805,+81.484,+79.272,+79.182,+82.396,+74.476,+76.64,+84.273,+77.59,+80.248,+84.23,+81.566,+76.968,+76.894,+80.904
2009-06-03 09:52:00 EDT,+78.402,+79.004,+82.71,+76.176,+74.41,+79.222,+78.94,+78.998,+82.141,+77.667,+76.818,+79.652,+78.272,+79.307,+78.226,+76.805,+81.484,+79.272,+79.182,+82.396,+74.476,+76.64,+84.273,+77.59,+80.248,+84.23,+81.566,+76.968,+76.894,+80.904
2009-06-03 09:53:00 EDT,+78.402,+79.004,+82.71,+76.176,+74.41,+79.222,+78.94,+78.998,+82.141,+77.667,+76.818,+79.652,+78.272,+79.307,+78.226,+76.805,+81.484,+79.272,+79.182,+82.396,+74.476,+76.64,+84.273,+77.59,+80.248,+84.23,+81.566,+76.968,+76.894,+80.904
2009-06-03 09:54:00 EDT,+78.402,+79.004,+82.71,+76.176,+74.41,+79.222,+78.94,+78.998,+82.141,+77.667,+76.818,+79.652,+78.272,+79.307,+78.226,+76.805,+81.484,+79.272,+79.182,+82.396,+74.476,+76.64,+84.273,+77.59,+80.248,+84.23,+81.566,+76.968,+76.894,+80.904
2009-06-03 09:55:00 EDT,+78.402,+79.004,+82.71,+76.176,+74.41,+79.222,+78.94,+78.998,+82.141,+77.667,+76.818,+79.652,+78.272,+79.307,+78.226,+76.805,+81.484,+79.272,+79.182,+82.396,+74.476,+76.64,+84.273,+77.59,+80.248,+84.23,+81.566,+76.968,+76.894,+80.904
2009-06-03 09:56:00 EDT,+78.402,+79.004,+82.71,+76.176,+74.41,+79.222,+78.94,+78.998,+82.141,+77.667,+76.818,+79.652,+78.272,+79.307,+78.226,+76.805,+81.484,+79.272,+79.182,+82.396,+74.476,+76.64,+84.273,+77.59,+80.248,+84.23,+81.566,+76.968,+76.894,+80.904
2009-06-03 09:57:00 EDT,+78.402,+79.004,+82.71,+76.176,+74.41,+79.222,+78.94,+78.998,+82.141,+77.667,+76.818,+79.652,+78.272,+79.307,+78.226,+76.805,+81.484,+79.272,+79.182,+82.396,+74.476,+76.64,+84.273,+77.59,+80.248,+84.23,+81.566,+76.968,+76.894,+80.904
2009-06-03 09:58:00 EDT,+78.402,+79.004,+82.71,+76.176,+74.41,+79.222,+78.94,+78.998,+82.141,+77.667,+76.818,+79.652,+78.272,+79.307,+78.226,+76.805,+81.484,+79.272,+79.182,+82.396,+74.476,+76.64,+84.273,+77.59,+80.248,+84.23,+81.566,+76.968,+76.894,+80.904
2009-06-03 09:59:00 EDT,+78.402,+79.004,+82.71,+76.176,+74.41,+79.222,+78.94,+78.998,+82.141,+77.667,+76.818,+79.652,+78.272,+79.307,+78.226,+76.805,+81.484,+79.272,+79.182,+82.396,+74.476,+76.64,+84.273,+77.59,+80.248,+84.23,+81.566,+76.968,+76.894,+80.904
2009-06-03 10:00:00 EDT,+78.402,+79.004,+82.71,+76.176,+74.41,+79.222,+78.94,+78.998,+82.141,+77.667,+76.818,+79.652,+78.272,+79.307,+78.226,+76.805,+81.484,+79.272,+79.182,+82.396,+74.476,+76.64,+84.273,+77.59,+80.248,+84.23,+81.566,+76.968,+76.894,+80.904
2009-06-03 10:01:00 EDT,+78.402,+79.004,+82.71,+76.176,+74.41,+79.222,+78.94,+78.998,+82.141,+77.667,+76.818,+79.652,+78.272,+79.307,+78.226,+76.805,+81.484,+79.272,+79.182,+82.396,+74.476,+76.64,+84.273,+77.59,+80.248,+84.23,+81.566,+76.968,+76.894,+80.904
2009-06-03 10:02:00 EDT,+78.402,+79.004,+82.71,+76.176,+74.41,+79.222,+78.94,+78.998,+82.141,+77.667,+76.818,+79.652,+78.272,+79.307,+78.226,+76.805,+81.484,+79.272,+79.182,+82.396,+74.476,+76.64,+84.273,+77.59,+80.248,+84.23,+81.566,+76.968,+76.894,+80.904
2009-06-03 10:03:00 EDT,+78.402,+79.004,+82.71,+76.176,+74.41,+79.222,+78.94,+78.998,+82.141,+77.667,+76.818,+79.652,+78.272,+79.307,+78.226,+76.805,+81.484,+79.272,+79.182,+82.396,+74.476,+76.64,+84.273,+77.59,+80.248,+84.23,+81.566,+76.968,+76.894,+80.904
2009-06-03 10:04:00 EDT,+78.402,+79.004,+82.71,+76.176,+74.41,+79.222,+78.94,+78.998,+82.141,+77.667,+76.818,+79.652,+78.272,+79.307,+78.226,+76.805,+81.484,+79.272,+79.182,+82.396,+74.476,+76.64,+84.273,+77.59,+80.248,+84.23,+81.566,+76.968,+76.894,+80.904
2009-06-03 10:05:00 EDT,+78.402,+79.004,+82.71,+76.176,+74.41,+79.222,+78.94,+78.998,+82.141,+77.667,+76.818,+79.652,+78.272,+79.307,+78.226,+76.805,+81.484,+79.272,+79.182,+82.396,+74.476,+76.64,+84.273,+77.59,+80.248,+84.23,+81.566,+76.968,+76.894,+80.904
2009-06-03 10:06:00 EDT,+78.402,+79.004,+82.71,+76.176,+74.41,+79.222,+78.94,+78.998,+82.141,+77.667,+76.818,+79.652,+78.272,+79.307,+78.226,+76.805,+81.484,+79.272,+79.182,+82.396,+74.476,+76.64,+84.273,+77.59,+80.248,+84.23,+81.566,+76.968,+76.894,+80.904
2009-06-03 10:07:00 EDT,+78.402,+79.004,+82.71,+76.176,+74.41,+79.222,+78.94,+78.998,+82.141,+77.667,+76.818,+79.652,+78.272,+79.307,+78.226,+76.805,+81.484,+79.272,+79.182,+82.396,+74.476,+76.64,+84.273,+77.59,+80.248,+84.23,+81.566,+76.968,+76.894,+80.904
2009-06-03 10:08:00 EDT,+78.402,+79.004,+82.71,+76.176,+74.41,+79.222,+78.94,+78.998,+82.141,+77.667,+76.818,+79.652,+78.272,+79.307,+78.226,+76.805,+81.484,+79.272,+79.182,+82.396,+74.476,+76.64,+84.273,+77.59,+80.248,+84.23,+81.566,+76.968,+76.894,+80.904
2009-06-03 10:09:00 EDT,+78.402,+79.004,+82.71,+76.176,+74.41,+79.222,+78.94,+78.998,+82.141,+77.667,+76.818,+79.652,+78.272,+79.307,+78.226,+76.805,+81.484,+79.272,+79.182,+82.396,+74.476,+76.64,+84.273,+77.59,+80.248,+84.23,+81.566,+76.968,+76.894,+80.904
2009-06-03 10:10:00 EDT,+78.402,+79.004,+82.71,+76.176,+74.41,+79.222,+78.94,+78.998,+82.141,+77.667,+76.818,+79.652,+78.272,+79.307,+78.226,+76.805,+81.484,+79.272,+79.182,+82.396,+74.476,+76.64,+84.273,+77.59,+80.248,+84.23,+81.566,+76.968,+76.894,+80.904
2009-06-03 10:11:00 EDT,+78.402,+79.004,+82.71,+76.176,+74.41,+79.222,+78.94,+78.998,+82.141,+77.667,+76.818,+79.652,+78.272,+79.307,+78.226,+76.805,+81.484,+79.272,+79.182,+82.396,+74.476,+76.64,+84.273,+77.59,+80.248,+84.23,+81.566,+76.968,+76.894,+80.904
2009-06-03 10:12:00 EDT,+78.402,+79.004,+82.71,+76.176,+74.41,+79.222,+78.94,+78.998,+82.141,+77.667,+76.818,+79.652,+78.272,+79.307,+78.226,+76.805,+81.484,+79.272,+79.182,+82.396,+74.476,+76.64,+84.273,+77.59,+80.248,+84.23,+81.566,+76.968,+76.894,+80.904
2009-06-03 10:13:00 EDT,+78.402,+79.004,+82.71,+76.176,+74.41,+79.222,+78.94,+78.998,+82.141,+77.667,+76.818,+79.652,+78.272,+79.307,+78.226,+76.805,+81.484,+79.272,+79.182,+82.396,+74.476,+76.64,+84.273,+77.59,+80.248,+84.23,+81.566,+76.968,+76.894,+80.904
2009-06-03 10:14:00 EDT,+78.402,+79.004,+82.71,+76.176,+74.41,+79.222,+78.94,+78.998,+82.141,+77.667,+76.818,+79.652,+78.272,+79.307,+78.226,+76.805,+81.484,+79.272,+79.182,+82.396,+74.476,+76.64,+84.273,+77.59,+80.248,+84.23,+81.566,+76.968,+76.894,+80.904
2009-06-03 10:15:00 EDT,+78.402,+79.004,+82.71,+76.176,+74.41,+79.222,+78.94,+78.998,+82.141,+77.667,+76.818,+79.652,+78.272,+79.307,+78.226,+76.805,+81.484,+79.272,+79.182,+82.396,+74.476,+76.64,+84.273,+77.59,+80.248,+84.23,+81.566,+76.968,+76.894,+80.904
2009-06-03 10:16:00 EDT,+78.402,+79.004,+82.71,+76.176,+74.41,+79.222,+78.94,+78.998,+82.141,+77.667,+76.818,+79.652,+78.272,+79.307,+78.226,+76.805,+81.484,+79.272,+79.182,+82.396,+74.476,+76.64,+84.273,+77.59,+80.248,+84.23,+81.566,+76.968,+76.894,+80.904
2009-06-03 10:17:00 EDT,+78.402,+79.004,+82.71,+76.176,+74.41,+79.222,+78.94,+78.998,+82.141,+77.667,+76.818,+79.652,+78.272,+79.307,+78.226,+76.805,+81.484,+79.272,+79.182,+82.396,+74.476,+76.64,+84.273,+77.59,+80.248,+84.23,+81.566,+76.968,+76.894,+80.904
